INFO,datapoints,init_rot_s,init_rot_l,init_shap,init_lime,total_rot_s,total_rot_l,total_shap,total_lime,ss,sl
CC1,200,0.703737974,1.09222102,0.001744747,0.00080895,0.7038359,1.0923409,138.9891,86.021559,197.4737293,78.74973738
CC2,200,0.678213119,0.97117686,0.002201795,0.000797748,0.678332,0.971337,136.1922,84.86775,200.7751367,87.3720964
Compas1,618,0.6125948,0.9836449,0.002068996,0.002465009,0.61267805,0.983753919,69.861604,19.94913,114.0266148,20.27857741
Compas2,618,0.60910892,0.686501,0.005678176,0.00245237,0.60917806,0.6865818,68.425164,20.87219,112.3237498,30.40015043
German,100,0.4273219,0.693397,0.00168704,0.0011718,0.427359,0.693498,32.124008,2.38936,75.16867084,3.445374031
Adult LR,36177,2.17473006,2.17473006,0.001471996,0.001151800,2.733921766,2.733921766,1437.9787,411.42334,525.9765359,150.488337
Adult ANN,36177,2.05956006,2.05956006,0.0006380,0.00145292,2.623691797,2.623691797,1668.76994,1479.2259,636.0388601,563.7956034
Compas LR,4937,0.3344039917,0.3344039917,0.00067615,0.00041794,0.4126806259,0.4126806259,189.92991,49.371145,460.2346175,119.6352382
Compas ANN,4937,0.3242700099,0.3242700099,0.00107598,0.00170302,0.4048829079,0.4048829079,217.479842,84.10564,537.1425609,207.7283046
German LR,800,0.262108087,0.262108087,0.00125718,0.00034379,0.2767503261,0.2767503261,233.54519,214.31397,843.8840644,774.3946431
German ANN,800,0.259555101,0.259555101,0.00085687,0.000413894,0.274050951,0.274050951,169.4974162,214.76894,618.4886992,783.6825204
HELOC LR,7896,0.6619122028,0.6619122028,0.001897811,0.0006318,0.7842931747,0.7842931747,522.3401997,461.96971,666.0012053,589.0268141
HELOC ANN,7896,0.64727211,0.64727211,0.0009510517,0.00633955,0.7733302116,0.7733302116,413.8894431,798.355837,535.2040265,1032.360853
Markup,283,0.63583397,0.63583397,0.06898999,0.0024807,0.6359269,0.6359269,295.4141099,21.953171,464.5409872,34.52153227
FairPCA,154,1.01906085,1.01906085,0.000683069,0.002013921,1.019134759,1.019134759,9.631929874,1.39542603,9.451085628,1.369226216
JudicialCaseOutcomePrediction,101,167.081022978,167.081022978,805.620690672,174.146952195,731.541780949,731.541780949,81367.689757824,17588.842171669,111.227672673,24.043523733
